Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ACAD8	674.515437911207	-0.0676484812140563	0.0261587008206556	-2.58607954874576	0.00970745237839684	0.0149026448745595
ACAD9	2688.20058143841	0.198016791649241	0.0297745215947454	6.6505448633031	2.92009972867091e-11	7.4999590111125e-11
ACADL	15.3640712943701	-1.45436539232791	0.165287677147202	-8.79899468266276	1.38047225266154e-18	4.85428556108619e-18
ACADM	660.787273948192	-0.0538747663660477	0.0507036079584307	-1.06254305236457	0.287989224135422	0.34900507014816
ACADS	353.486801276268	-0.378096497162163	0.0589040588058941	-6.41885304386411	1.37304871677106e-10	3.42647075238014e-10
ACADSB	804.341515442733	-0.121392080424107	0.0325717394567161	-3.72691426521517	0.000193838357179112	0.00034623981605682
ACADVL	7159.72586265503	-0.00631658451774035	0.0423416086511195	-0.14918149590836	0.881410420724009	0.904873788123235
ACAN	0.269093163752987	-1.14601775943248	0.677447288127175	-1.69167074622246	0.0907087691619296	0.12150249919248
ACAP1	32.1631796457938	-1.2544628050111	0.0937954609455431	-13.3744510913959	8.5280932650092e-41	6.55509322868894e-40
ACAP2	2515.38973066153	0.605555398496418	0.0423482601132345	14.2994162423021	2.20652650633404e-46	2.04764842933932e-45
ACAP3	2015.43889700271	-0.0507180152117262	0.0434344457914015	-1.16769108682323	0.242931393388056	0.300317233571944
ACAT1	975.399974782216	-0.207418317773091	0.0492500518116905	-4.21153501657547	2.5364122634504e-05	4.81267967936743e-05
ACAT2	1980.76461978	0.644462930583247	0.0448684641870204	14.3633828850705	8.78329992062588e-47	8.24240976173287e-46
ACBD3	2393.16497377722	0.236261911595991	0.0229037344296682	10.315431848963	6.00109084676917e-25	2.69290391230944e-24
ACBD4	190.987930298947	-0.459026668097963	0.0495225130393301	-9.26905037580404	1.87810534349577e-20	7.11169270363751e-20
ACBD5	2378.5678037891	0.128304772769318	0.0369756692547732	3.4699783764632	0.000520500266866376	0.000897747686569046
ACBD6	1721.2553014937	-0.0834236114547248	0.0268862435649344	-3.10283626097652	0.00191675657658515	0.00315174125835016
ACBD7	720.992627682402	0.429413193598305	0.0494555451942097	8.68281184469848	3.86102808821572e-18	1.33544424424074e-17
ACCS	182.34618258484	-1.21785611538862	0.0599957651608174	-20.2990346422648	1.31135734430447e-91	4.86999262642257e-90
ACCSL	0.130550827520158	0.0150691217415877	0.804948930417257	0.0187205935335257	0.985063999868946	0.988118920236687
ACD	1349.05362024978	0.665672192956643	0.0444314663128498	14.9819992045621	9.62768028273588e-51	1.03802957198917e-49
ACE	38.0679754931177	0.0343517764151208	0.0834717206090923	0.411537897679073	0.680678158248895	0.735350955423333
ACE2	9.51572657685838	-1.92089494041713	0.219140262032113	-8.76559570844924	1.85791618349168e-18	6.49105420622684e-18
ACER1	0.302161213599511	-0.864098903447821	0.700558998748812	-1.23344201557769	0.217410897557388	0.271834786434059
ACER2	343.61882621035	0.222357513812378	0.094815920325216	2.34514955979648	0.0190194486129754	0.0282237696081551
ACER3	1193.72983317088	0.92410527668604	0.0393277960124337	23.4975099136977	4.32497533092089e-122	3.77100240375163e-120
ACHE	126.770505212418	-1.22204682026438	0.175430308903595	-6.96599594392744	3.26088538742991e-12	8.73314577450846e-12
ACIN1	8155.90758570728	0.169422593154444	0.0308353461185944	5.49442813136701	3.91978511619616e-08	8.66101484356519e-08
ACLY	9388.32812450869	0.609310716901128	0.0280219919760491	21.744018677256	7.86975236965149e-105	4.25390873371943e-103
ACMSD	1.92336913514779	-1.08402169012129	0.299849243016842	-3.61522236712934	0.000300089926019455	0.000527339938345088
ACN9	0.0766100199227452	-0.235906335963443	0.800337409671454	-0.294758601950501	0.768178292921945	0.810962701950763
ACO1	1741.80546701541	0.122540018635202	0.0240825356753569	5.08833539321171	3.61220119523027e-07	7.60116293485286e-07
